Error,ErrorShort,Description
AADSTS221000,DeviceOnlyTokensNotSupportedByResource,DeviceOnlyTokensNotSupportedByResource - The resource is not configured to accept device-only tokens.
AADSTS240001,BulkAADJTokenUnauthorized,BulkAADJTokenUnauthorized - The user isn't authorized to register devices in Azure AD.
AADSTS240002,RequiredClaimIsMissing,RequiredClaimIsMissing - The id_token can't be used as urn:ietf:params:oauth:grant-type:jwt-bearer grant.
AADSTS28002,Provided value for the input parameter scope '{scope}' is not valid when requesting an access token,Provided value for the input parameter scope '{scope}' is not valid when requesting an access token. Please specify a valid scope.
AADSTS28003,Provided value for the input parameter scope cannot be empty when requesting an access token using the provided authorization code,Provided value for the input parameter scope cannot be empty when requesting an access token using the provided authorization code. Please specify a valid scope.
AADSTS40008,OAuth2IdPUnretryableServerError,OAuth2IdPUnretryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS40009,OAuth2IdPRefreshTokenRedemptionUserError,OAuth2IdPRefreshTokenRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS40010,OAuth2IdPRetryableServerError,OAuth2IdPRetryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS40015,OAuth2IdPAuthCodeRedemptionUserError,OAuth2IdPAuthCodeRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
AADSTS50000,TokenIssuanceError,TokenIssuanceError - There's an issue with the sign-in service. Open a support ticket to resolve this issue.
AADSTS50001,InvalidResource,InvalidResource - The resource is disabled or does not exist. Check your app's code to ensure that you have specified the exact resource URL for the resource you are trying to access.
AADSTS50002,NotAllowedTenant,"NotAllowedTenant - Sign-in failed because of a restricted proxy access on the tenant. If it's your own tenant policy, you can change your restricted tenant settings to fix this issue."
AADSTS500021,Access to '{tenant}' tenant is denied,"Access to '{tenant}' tenant is denied. AADSTS500021 indicates that the tenant restriction feature is configured and that the user is trying to access a tenant that is not in the list of allowed tenants specified in the header Restrict-Access-To-Tenant. For more information, see Use tenant restrictions to manage access to SaaS cloud applications."
AADSTS50003,MissingSigningKey,"MissingSigningKey - Sign-in failed because of a missing signing key or certificate. This might be because there was no signing key configured in the app. To learn more, see the troubleshooting article for error AADSTS50003. If you still see issues, contact the app owner or an app admin."
AADSTS50005,DevicePolicyError,DevicePolicyError - User tried to log in to a device from a platform that's currently not supported through Conditional Access policy.
AADSTS50006,InvalidSignature,InvalidSignature - Signature verification failed because of an invalid signature.
AADSTS50007,PartnerEncryptionCertificateMissing,PartnerEncryptionCertificateMissing - The partner encryption certificate was not found for this app. Open a support ticket with Microsoft to get this fixed.
AADSTS50008,InvalidSamlToken,InvalidSamlToken - SAML assertion is missing or misconfigured in the token. Contact your federation provider.
AADSTS50010,AudienceUriValidationFailed,AudienceUriValidationFailed - Audience URI validation for the app failed since no token audiences were configured.
AADSTS50011,InvalidReplyTo,"InvalidReplyTo - The reply address is missing, misconfigured, or does not match reply addresses configured for the app. As a resolution ensure to add this missing reply address to the Azure Active Directory application or have someone with the permissions to manage your application in Active Directory do this for you. To learn more, see the troubleshooting article for error AADSTS50011."
AADSTS50012,AuthenticationFailed,AuthenticationFailed - Authentication failed for one of the following reasons:
AADSTS50013,InvalidAssertion,InvalidAssertion - Assertion is invalid because of various reasons - The token issuer doesn't match the api version within its valid time range -expired -malformed - Refresh token in the assertion is not a primary refresh token.
AADSTS50014,GuestUserInPendingState,GuestUserInPendingState - The user's redemption is in a pending state. The guest user account is not fully created yet.
AADSTS50015,ViralUserLegalAgeConsentRequiredState,ViralUserLegalAgeConsentRequiredState - The user requires legal age group consent.
AADSTS50017,CertificateValidationFailed,"CertificateValidationFailed - Certification validation failed, reasons for the following reasons:"
AADSTS50020,UserUnauthorized,UserUnauthorized - Users are unauthorized to call this endpoint.
AADSTS500212,NotAllowedByOutboundPolicyTenant,NotAllowedByOutboundPolicyTenant - The user's administrator has set an outbound access policy that does not allow access to the resource tenant.
AADSTS500213,NotAllowedByInboundPolicyTenant,NotAllowedByInboundPolicyTenant - The resource tenant's cross-tenant access policy does not allow this user to access this tenant.
AADSTS50027,InvalidJwtToken,InvalidJwtToken - Invalid JWT token because of the following reasons:
AADSTS50029,Invalid URI,Invalid URI - domain name contains invalid characters. Contact the tenant admin.
AADSTS50032,WeakRsaKey,WeakRsaKey - Indicates the erroneous user attempt to use a weak RSA key.
AADSTS50033,RetryableError,RetryableError - Indicates a transient error not related to the database operations.
AADSTS50034,UserAccountNotFound,"UserAccountNotFound - To sign into this application, the account must be added to the directory."
AADSTS50042,UnableToGeneratePairwiseIdentifierWithMissingSalt,UnableToGeneratePairwiseIdentifierWithMissingSalt - The salt required to generate a pairwise identifier is missing in principle. Contact the tenant admin.
AADSTS50043,UnableToGeneratePairwiseIdentifierWithMultipleSalts,UnableToGeneratePairwiseIdentifierWithMultipleSalts
AADSTS50048,SubjectMismatchesIssuer,SubjectMismatchesIssuer - Subject mismatches Issuer claim in the client assertion. Contact the tenant admin.
AADSTS50049,NoSuchInstanceForDiscovery,NoSuchInstanceForDiscovery - Unknown or invalid instance.
AADSTS50050,MalformedDiscoveryRequest,MalformedDiscoveryRequest - The request is malformed.
AADSTS50053,This error can result from two different reasons:,This error can result from two different reasons:
AADSTS50055,InvalidPasswordExpiredPassword,"InvalidPasswordExpiredPassword - The password is expired. The user's password is expired, and therefore their login or session was ended. They will be offered the opportunity to reset it, or may ask an admin to reset it via Reset a user's password using Azure Active Directory."
AADSTS50056,Invalid or null password: password does not exist in the directory for this user,Invalid or null password: password does not exist in the directory for this user. The user should be asked to enter their password again.
AADSTS50057,UserDisabled,UserDisabled - The user account is disabled. The user object in Active Directory backing this account has been disabled. An admin can re-enable this account through PowerShell
AADSTS50058,UserInformationNotProvided,UserInformationNotProvided - Session information is not sufficient for single-sign-on. This means that a user is not signed in. This is a common error that's expected when a user is unauthenticated and has not yet signed in.
AADSTS50059,MissingTenantRealmAndNoUserInformationProvided,MissingTenantRealmAndNoUserInformationProvided - Tenant-identifying information was not found in either the request or implied by any provided credentials. The user can contact the tenant admin to help resolve the issue.
AADSTS50061,SignoutInvalidRequest,SignoutInvalidRequest - Unable to complete signout. The request was invalid.
AADSTS50064,CredentialAuthenticationError,CredentialAuthenticationError - Credential validation on username or password has failed.
AADSTS50068,SignoutInitiatorNotParticipant,SignoutInitiatorNotParticipant - Sign out has failed. The app that initiated sign out is not a participant in the current session.
AADSTS50070,SignoutUnknownSessionIdentifier,SignoutUnknownSessionIdentifier - Sign out has failed. The sign out request specified a name identifier that didn't match the existing session(s).
AADSTS50071,SignoutMessageExpired,SignoutMessageExpired - The logout request has expired.
AADSTS50072,UserStrongAuthEnrollmentRequiredInterrupt,UserStrongAuthEnrollmentRequiredInterrupt - User needs to enroll for second factor authentication (interactive).
AADSTS50074,UserStrongAuthClientAuthNRequiredInterrupt,UserStrongAuthClientAuthNRequiredInterrupt - Strong authentication is required and the user did not pass the MFA challenge.
AADSTS50076,UserStrongAuthClientAuthNRequired,"UserStrongAuthClientAuthNRequired - Due to a configuration change made by the admin, or because you moved to a new location, the user must use multi-factor authentication to access the resource. Retry with a new authorize request for the resource."
AADSTS50079,UserStrongAuthEnrollmentRequired,"UserStrongAuthEnrollmentRequired - Due to a configuration change made by the administrator, or because the user moved to a new location, the user is required to use multi-factor authentication."
AADSTS50085,Refresh token needs social IDP login,Refresh token needs social IDP login. Have user try signing-in again with username -password
AADSTS50086,SasNonRetryableError,SasNonRetryableError
AADSTS50087,SasRetryableError,SasRetryableError - A transient error has occurred during strong authentication. Please try again.
AADSTS50088,Limit on telecom MFA calls reached,Limit on telecom MFA calls reached. Please try again in a few minutes.
AADSTS50089,Authentication failed due to flow token expired,"Authentication failed due to flow token expired. Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user."
AADSTS50097,DeviceAuthenticationRequired,DeviceAuthenticationRequired - Device authentication is required.
AADSTS50099,PKeyAuthInvalidJwtUnauthorized,PKeyAuthInvalidJwtUnauthorized - The JWT signature is invalid.
AADSTS50105,EntitlementGrantsNotFound,"EntitlementGrantsNotFound - The signed in user is not assigned to a role for the signed in app. Assign the user to the app. To learn more, see the troubleshooting article for error AADSTS50105."
AADSTS50107,InvalidRealmUri,InvalidRealmUri - The requested federation realm object does not exist. Contact the tenant admin.
AADSTS50120,ThresholdJwtInvalidJwtFormat,ThresholdJwtInvalidJwtFormat - Issue with JWT header. Contact the tenant admin.
AADSTS50124,ClaimsTransformationInvalidInputParameter,ClaimsTransformationInvalidInputParameter - Claims Transformation contains invalid input parameter. Contact the tenant admin to update the policy.
AADSTS501241,Mandatory Input '{paramName}' missing from transformation id '{transformId}',"Mandatory Input '{paramName}' missing from transformation id '{transformId}'. This error is returned while Azure AD is trying to build a SAML response to the application. NameID claim or NameIdentifier is mandatory in SAML response and if Azure AD failed to get source attribute for NameID claim, it will return this error. As a resolution, ensure you add claim rules in Azure Portal > Azure Active Directory > Enterprise Applications > Select your application > Single Sign-On > User Attributes & Claims > Unique User Identifier (Name ID)."
AADSTS50125,PasswordResetRegistrationRequiredInterrupt,PasswordResetRegistrationRequiredInterrupt - Sign-in was interrupted because of a password reset or password registration entry.
AADSTS50126,InvalidUserNameOrPassword,InvalidUserNameOrPassword - Error validating credentials due to invalid username or password.
AADSTS50127,BrokerAppNotInstalled,BrokerAppNotInstalled - User needs to install a broker app to gain access to this content.
AADSTS50128,Invalid domain name,Invalid domain name - No tenant-identifying information found in either the request or implied by any provided credentials.
AADSTS50129,DeviceIsNotWorkplaceJoined,DeviceIsNotWorkplaceJoined - Workplace join is required to register the device.
AADSTS50131,ConditionalAccessFailed,"ConditionalAccessFailed - Indicates various Conditional Access errors such as bad Windows device state, request blocked due to suspicious activity, access policy, or security policy decisions."
AADSTS50132,SsoArtifactInvalidOrExpired,SsoArtifactInvalidOrExpired - The session is not valid due to password expiration or recent password change.
AADSTS50133,SsoArtifactRevoked,SsoArtifactRevoked - The session is not valid due to password expiration or recent password change.
AADSTS50134,DeviceFlowAuthorizeWrongDatacenter,"DeviceFlowAuthorizeWrongDatacenter - Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides."
AADSTS50135,PasswordChangeCompromisedPassword,PasswordChangeCompromisedPassword - Password change is required due to account risk.
AADSTS50136,RedirectMsaSessionToApp,RedirectMsaSessionToApp - Single MSA session detected.
AADSTS50139,SessionMissingMsaOAuth2RefreshToken,SessionMissingMsaOAuth2RefreshToken - The session is invalid due to a missing external refresh token.
AADSTS50140,KmsiInterrupt,"KmsiInterrupt - This error occurred due to ""Keep me signed in"" interrupt when the user was signing-in. This is an expected part of the login flow, where a user is asked if they want to remain signed into their current browser to make further logins easier. For more information, see The new Azure AD sign-in and “Keep me signed in” experiences rolling out now!. You can open a support ticket with Correlation ID, Request ID, and Error code to get more details."
AADSTS50143,Session mismatch,"Session mismatch - Session is invalid because user tenant does not match the domain hint due to different resource. Open a support ticket with Correlation ID, Request ID, and Error code to get more details."
AADSTS50144,InvalidPasswordExpiredOnPremPassword,InvalidPasswordExpiredOnPremPassword - User's Active Directory password has expired. Generate a new password for the user or have the user use the self-service reset tool to reset their password.
AADSTS50146,MissingCustomSigningKey,"MissingCustomSigningKey - This app is required to be configured with an app-specific signing key. It is either not configured with one, or the key has expired or is not yet valid."
AADSTS50147,MissingCodeChallenge,MissingCodeChallenge - The size of the code challenge parameter is not valid.
AADSTS501481,The Code_Verifier does not match the code_challenge supplied in the authorization request,The Code_Verifier does not match the code_challenge supplied in the authorization request.
AADSTS50155,DeviceAuthenticationFailed,DeviceAuthenticationFailed - Device authentication failed for this user.
AADSTS50158,ExternalSecurityChallenge,ExternalSecurityChallenge - External security challenge was not satisfied.
AADSTS50161,InvalidExternalSecurityChallengeConfiguration,InvalidExternalSecurityChallengeConfiguration - Claims sent by external provider is not enough or Missing claim requested to external provider.
AADSTS50166,ExternalClaimsProviderThrottled,ExternalClaimsProviderThrottled - Failed to send the request to the claims provider.
AADSTS50168,ChromeBrowserSsoInterruptRequired,"ChromeBrowserSsoInterruptRequired - The client is capable of obtaining an SSO token through the Windows 10 Accounts extension, but the token was not found in the request or the supplied token was expired."
AADSTS50169,InvalidRequestBadRealm,InvalidRequestBadRealm - The realm is not a configured realm of the current service namespace.
AADSTS50170,MissingExternalClaimsProviderMapping,MissingExternalClaimsProviderMapping - The external controls mapping is missing.
AADSTS50173,FreshTokenNeeded,"FreshTokenNeeded - The provided grant has expired due to it being revoked, and a fresh auth token is needed. Either an admin or a user revoked the tokens for this user, causing subsequent token refreshes to fail and require reauthentication. Have the user sign in again."
AADSTS50177,ExternalChallengeNotSupportedForPassthroughUsers,ExternalChallengeNotSupportedForPassthroughUsers - External challenge is not supported for passthrough users.
AADSTS50178,SessionControlNotSupportedForPassthroughUsers,SessionControlNotSupportedForPassthroughUsers - Session control is not supported for passthrough users.
AADSTS50180,WindowsIntegratedAuthMissing,WindowsIntegratedAuthMissing - Integrated Windows authentication is needed. Enable the tenant for Seamless SSO.
AADSTS50187,DeviceInformationNotProvided,DeviceInformationNotProvided - The service failed to perform device authentication.
AADSTS50194,Application '{appId}'({appName}) is not configured as a multi,Application '{appId}'({appName}) is not configured as a multi-tenant application. Usage of the /common endpoint is not supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant.
AADSTS50196,LoopDetected,"LoopDetected - A client loop has been detected. Check the app’s logic to ensure that token caching is implemented, and that error conditions are handled correctly. The app has made too many of the same request in too short a period, indicating that it is in a faulty state or is abusively requesting tokens."
AADSTS50197,ConflictingIdentities,ConflictingIdentities - The user could not be found. Try signing in again.
AADSTS50199,CmsiInterrupt,"CmsiInterrupt - For security reasons, user confirmation is required for this request. Because this is an ""interaction_required"" error, the client should do interactive auth. This occurs because a system webview has been used to request a token for a native application - the user must be prompted to ask if this was actually the app they meant to sign into. To avoid this prompt, the redirect URI should be part of the following safe list:"
AADSTS51000,RequiredFeatureNotEnabled,RequiredFeatureNotEnabled - The feature is disabled.
AADSTS51001,DomainHintMustbePresent,DomainHintMustbePresent - Domain hint must be present with on-premises security identifier or on-premises UPN.
AADSTS51004,UserAccountNotInDirectory,UserAccountNotInDirectory - The user account doesn’t exist in the directory.
AADSTS51005,TemporaryRedirect,"TemporaryRedirect - Equivalent to HTTP status 307, which indicates that the requested information is located at the URI specified in the location header. When you receive this status, follow the location header associated with the response. When the original request method was POST, the redirected request will also use the POST method."
AADSTS51006,ForceReauthDueToInsufficientAuth,ForceReauthDueToInsufficientAuth - Integrated Windows authentication is needed. User logged in using a session token that is missing the integrated Windows authentication claim. Request the user to log in again.
AADSTS52004,DelegationDoesNotExistForLinkedIn,DelegationDoesNotExistForLinkedIn - The user has not provided consent for access to LinkedIn resources.
AADSTS53000,DeviceNotCompliant,"DeviceNotCompliant - Conditional Access policy requires a compliant device, and the device is not compliant. The user must enroll their device with an approved MDM provider like Intune."
AADSTS53001,DeviceNotDomainJoined,"DeviceNotDomainJoined - Conditional Access policy requires a domain joined device, and the device is not domain joined. Have the user use a domain joined device."
AADSTS53002,ApplicationUsedIsNotAnApprovedApp,ApplicationUsedIsNotAnApprovedApp - The app used is not an approved app for Conditional Access. User needs to use one of the apps from the list of approved apps to use in order to get access.
AADSTS53003,BlockedByConditionalAccess,BlockedByConditionalAccess - Access has been blocked by Conditional Access policies. The access policy does not allow token issuance.
AADSTS530032,BlockedByConditionalAccessOnSecurityPolicy,BlockedByConditionalAccessOnSecurityPolicy - The tenant admin has configured a security policy that blocks this request. Check the security policies that are defined on the tenant level to determine if your request meets the policy requirements.
AADSTS53004,ProofUpBlockedDueToRisk,ProofUpBlockedDueToRisk - User needs to complete the multi-factor authentication registration process before accessing this content. User should register for multi-factor authentication.
AADSTS53011,User blocked due to risk on home tenant,User blocked due to risk on home tenant.
AADSTS54000,MinorUserBlockedLegalAgeGroupRule,MinorUserBlockedLegalAgeGroupRule
AADSTS54005,"OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token","OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token."
AADSTS65001,DelegationDoesNotExist,DelegationDoesNotExist - The user or administrator has not consented to use the application with ID X. Send an interactive authorization request for this user and resource.
AADSTS65002,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API. A developer in your tenant may be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register in https://portal.azure.com.
AADSTS65004,UserDeclinedConsent,UserDeclinedConsent - User declined to consent to access the app. Have the user retry the sign-in and consent to the app
AADSTS65005,MisconfiguredApplication,"MisconfiguredApplication - The app required resource access list does not contain apps discoverable by the resource or The client app has requested access to resource, which was not specified in its required resource access list or Graph service returned bad request or resource not found. If the app supports SAML, you may have configured the app with the wrong Identifier (Entity). To learn more, see the troubleshooting article for error AADSTS650056."
AADSTS650052,"The app needs access to a service (\""{name}\"") that your organization \""{organization}\"" has not subscribed to or enabled","The app needs access to a service (\""{name}\"") that your organization \""{organization}\"" has not subscribed to or enabled. Contact your IT Admin to review the configuration of your service subscriptions."
AADSTS650054,The application asked for permissions to access a resource that has been removed or is no longer available,The application asked for permissions to access a resource that has been removed or is no longer available. Make sure that all resources the app is calling are present in the tenant you are operating in.
AADSTS650056,Misconfigured application,"Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or, the admin has not consented in the tenant. Or, check the application identifier in the request to ensure it matches the configured client application identifier. Or, check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {id}. Please contact your admin to fix the configuration or consent on behalf of the tenant."
AADSTS650057,Invalid resource,Invalid resource. The client has requested access to a resource which is not listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}.
AADSTS67003,ActorNotValidServiceIdentity,ActorNotValidServiceIdentity
AADSTS70000,InvalidGrant,InvalidGrant - Authentication failed. The refresh token is not valid. Error may be due to the following reasons:
AADSTS700005,InvalidGrantRedeemAgainstWrongTenant,"InvalidGrantRedeemAgainstWrongTenant - Provided Authorization Code is intended to use against other tenant, thus rejected. OAuth2 Authorization Code must be redeemed against same tenant it was acquired for (/common or /{tenant-ID} as appropriate)"
AADSTS70001,UnauthorizedClient,"UnauthorizedClient - The application is disabled. To learn more, see the troubleshooting article for error AADSTS70001."
AADSTS7000112,UnauthorizedClientApplicationDisabled,UnauthorizedClientApplicationDisabled - The application is disabled.
AADSTS7000114,Application 'appIdentifier' is not allowed to make application on,Application 'appIdentifier' is not allowed to make application on-behalf-of calls.
AADSTS700016,UnauthorizedClient_DoesNotMatchRequest,UnauthorizedClient_DoesNotMatchRequest - The application wasn't found in the directory/tenant. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have misconfigured the identifier value for the application or sent your authentication request to the wrong tenant.
AADSTS70002,InvalidClient,"InvalidClient - Error validating the credentials. The specified client_secret does not match the expected value for this client. Correct the client_secret and try again. For more info, see Use the authorization code to request an access token."
AADSTS700020,InteractionRequired,InteractionRequired - The access grant requires interaction.
AADSTS7000215,Invalid client secret is provided,Invalid client secret is provided. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
AADSTS700022,InvalidMultipleResourcesScope,InvalidMultipleResourcesScope - The provided value for the input parameter scope isn't valid because it contains more than one resource.
AADSTS7000222,InvalidClientSecretExpiredKeysProvided,"InvalidClientSecretExpiredKeysProvided - The provided client secret keys are expired. Visit the Azure portal to create new keys for your app, or consider using certificate credentials for added security: https://aka.ms/certCreds"
AADSTS700023,InvalidResourcelessScope,InvalidResourcelessScope - The provided value for the input parameter scope isn't valid when request an access token.
AADSTS70003,UnsupportedGrantType,UnsupportedGrantType - The app returned an unsupported grant type.
AADSTS700030,Invalid certificate,Invalid certificate - subject name in certificate is not authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}.
AADSTS70004,InvalidRedirectUri,InvalidRedirectUri - The app returned an invalid redirect URI. The redirect address specified by the client does not match any configured addresses or any addresses on the OIDC approve list.
AADSTS70005,UnsupportedResponseType,UnsupportedResponseType - The app returned an unsupported response type due to the following reasons:
AADSTS700054,Response_type 'id_token' is not enabled for the application,"Response_type 'id_token' is not enabled for the application. The application requested an ID token from the authorization endpoint, but did not have ID token implicit grant enabled. Go to Azure Portal > Azure Active Directory > App registrations > Select your application > Authentication > Under 'Implicit grant and hybrid flows', make sure 'ID tokens' is selected."
AADSTS70007,UnsupportedResponseMode,UnsupportedResponseMode - The app returned an unsupported value of response_mode when requesting a token.
AADSTS70008,ExpiredOrRevokedGrant,ExpiredOrRevokedGrant - The refresh token has expired due to inactivity. The token was issued on XXX and was inactive for a certain amount of time.
AADSTS700084,"The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended","The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}."
AADSTS70011,InvalidScope,InvalidScope - The scope requested by the app is invalid.
AADSTS70012,MsaServerError,"MsaServerError - A server error occurred while authenticating an MSA (consumer) user. Try again. If it continues to fail, open a support ticket "
AADSTS70016,AuthorizationPending,AuthorizationPending - OAuth 2.0 device flow error. Authorization is pending. The device will retry polling the request.
AADSTS70018,BadVerificationCode,BadVerificationCode - Invalid verification code due to User typing in wrong user code for device code flow. Authorization is not approved.
AADSTS70019,CodeExpired,CodeExpired - Verification code expired. Have the user retry the sign-in.
AADSTS70043,The refresh token has expired or is invalid due to sign,The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}.
AADSTS75001,BindingSerializationError,BindingSerializationError - An error occurred during SAML message binding.
AADSTS75003,UnsupportedBindingError,UnsupportedBindingError - The app returned an error related to unsupported binding (SAML protocol response cannot be sent via bindings other than HTTP POST).
AADSTS75005,Saml2MessageInvalid,"Saml2MessageInvalid - Azure AD doesn’t support the SAML request sent by the app for SSO. To learn more, see the troubleshooting article for error AADSTS75005."
AADSTS7500514,A supported type of SAML response was not found,A supported type of SAML response was not found. The supported response types are 'Response' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:protocol') or 'Assertion' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:assertion'). Application error - the developer will handle this error.
AADSTS7500529,The value ‘SAMLId,"The value ‘SAMLId-Guid’ is not a valid SAML ID - Azure AD uses this attribute to populate the InResponseTo attribute of the returned response. ID must not begin with a number, so a common strategy is to prepend a string like ""id"" to the string representation of a GUID. For example, id6c1c178c166d486687be4aaf5e482730 is a valid ID."
AADSTS750054,SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding,"SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding. To learn more, see the troubleshooting article for error AADSTS750054."
AADSTS75008,RequestDeniedError,RequestDeniedError - The request from the app was denied since the SAML request had an unexpected destination.
